legacy_path,new_path,status,action
/,/,200,REBUILD
/athlete,/sport,301,MERGE
/athletes,/athletes,200,REBUILD
/combine,/pro/draft,301,MERGE
/draft,/pro/draft,200,REBUILD
/draft/2027,/pro/draft/2027,200,KEEP
/integrated,/integrated,200,REBUILD
/adaptive-fitness,/integrated/adaptive-fitness,301,MERGE
/adult-fitness,/performance,301,MERGE
/personal-training,/performance/personal-training,301,MERGE
/first-responders,/performance/first-responders,301,MERGE
/coaches,/coaches,200,REBUILD
/facility,/facility,200,REBUILD
/results,/verified,301,MERGE
/media,/media,200,REBUILD
/contact,/contact,200,KEEP
/apply,/apply,200,KEEP
